id,name,countBans
1,Annie,3887
2,Olaf,655
3,Galio,10265
4,Twisted Fate,222
5,Xin Zhao,3686
6,Urgot,429
7,LeBlanc,14718
8,Vladimir,15644
113,Sejuani,44761
117,Lulu,71714
105,Fizz,78377
236,Lucian,12200
19,Warwick,10335
92,Riven,5027
122,Darius,55653
427,Ivern,27735
51,Caitlyn,15162
28,Evelynn,2815
498,Xayah,70297
134,Syndra,13125
57,Maokai,8876
157,Yasuo,93519
114,Fiora,34690
154,Zac,10798
103,Ahri,20374
497,Rakan,17516
119,Draven,5468
91,Talon,3377
238,Zed,39769
55,Katarina,38925
11,Master Yi,25932
164,Camille,15173
38,Kassadin,10746
63,Brand,4184
420,Illaoi,9437
240,Kled,4988
53,Blitzcrank,16123
254,Vi,2922
60,Elise,1865
67,Vayne,16411
83,Yorick,798
16,Soraka,2414
58,Renekton,6575
101,Xerath,390
24,Jax,5801
121,KhaZix,4602
61,Orianna,4209
64,Lee Sin,28071
33,Rammus,1499
84,Akali,5093
23,Tryndamere,6247
32,Amumu,4818
36,Dr Mundo,1371
245,Ekko,8376
107,Rengar,5540
69,Cassiopeia,1882
29,Twitch,3156
17,Teemo,4360
131,Diana,1663
79,Gragas,3477
50,Swain,1839
223,Tahm Kench,1308
143,Zyra,2324
99,Lux,2160
25,Morgana,4856
39,Irelia,4339
266,Aatrox,2072
35,Shaco,5748
31,ChoGath,2526
80,Pantheon,3609
41,Gangplank,2563
34,Anivia,1203
89,Leona,1564
111,Nautilus,1491
43,Karma,1233
62,Wukong,507
72,Skarner,486
120,Hecarim,5961
9,Fiddlesticks,751
10,Kayle,1192
432,Bard,521
429,Kalista,543
12,Alistair,701
13,Ryze,860
14,Sion,217
15,Sivir,74
18,Tristana,794
20,Nunu,314
21,Miss Fortune,855
22,Ashe,449
26,Zilean,358
27,Singed,224
37,Sona,386
40,Janna,775
42,Corki,154
44,Taric,339
45,Veigar,2536
48,Trundle,316
50,Swain,1839
30,Karthus,118
54,Malphite,1881
56,Nocturne,424
59,Jarvan IV,831
68,Rumble,540
74,Heimerdinger,750
75,Nasus,1752
76,Nidalee,1177
77,Udyr,739
78,Poppy,1075
81,Ezreal,1026
82,Mordekaiser,875
85,Kennen,1896
86,Garen,2816
90,Malzahar,2757
96,KogMaw,2432
98,Shen,2432
102,Shyvana,825
106,Volibear,482
110,Varus,241
112,Viktor,385
115,Ziggs,485
126,Jayce,2526
127,Lissandra,651
133,Quinn,514
136,Aurelion Sol,675
150,Gnar,917
161,VelKoz,517
163,Taliyah,327
201,Braum,2239
202,Jhin,1024
203,Kindred,736
222,Jinx,975
267,Nami,147
268,Azir,1018
412,Thresh,2438
421,RekSai,638