id,matchid,player,championid,ss1,ss2,role,position
1874,196,6,76,4,11,NONE,JUNGLE
1875,196,7,89,4,3,DUO_SUPPORT,BOT
1876,196,8,157,4,12,SOLO,TOP
1877,196,9,222,4,7,DUO_CARRY,BOT
1878,196,10,103,4,14,SOLO,MID
1879,197,1,23,14,4,SOLO,TOP
1880,197,2,51,4,7,DUO_CARRY,BOT
1881,197,3,5,4,11,NONE,JUNGLE
1882,197,4,103,14,4,SOLO,MID
1883,197,5,25,4,14,DUO_SUPPORT,BOT
1884,197,6,43,1,4,SOLO,MID
1885,197,7,12,3,4,DUO_SUPPORT,BOT
1886,197,8,92,4,12,SOLO,TOP
1887,197,9,429,7,4,DUO_CARRY,BOT
1888,197,10,64,11,4,NONE,JUNGLE
1889,198,1,99,14,4,SOLO,MID
1890,198,2,64,11,4,NONE,JUNGLE
1891,198,3,89,4,3,DUO,BOT
1892,198,4,58,4,12,SOLO,TOP
1893,198,5,22,4,7,DUO,BOT
1894,198,6,11,6,11,NONE,JUNGLE
1895,198,7,21,4,7,DUO_CARRY,BOT
1896,198,8,412,3,4,DUO_SUPPORT,BOT
1897,198,9,103,1,4,SOLO,MID
1898,198,10,86,12,4,SOLO,TOP
1899,199,1,99,4,12,SOLO,MID
1900,199,2,105,4,12,SOLO,TOP
1901,199,3,21,4,7,DUO_CARRY,BOT
1902,199,4,89,4,3,DUO_SUPPORT,BOT
1903,199,5,35,11,14,NONE,JUNGLE
1904,199,6,236,4,7,DUO_CARRY,BOT
1905,199,7,43,14,4,DUO_SUPPORT,BOT
1906,199,8,64,4,11,NONE,JUNGLE
1907,199,9,161,4,14,SOLO,MID
1908,199,10,85,4,12,SOLO,TOP
1909,200,1,35,14,11,NONE,JUNGLE
1910,200,2,236,7,4,DUO_CARRY,BOT
1911,200,3,98,4,3,DUO_SUPPORT,BOT
1912,200,4,114,12,4,SOLO,TOP
1913,200,5,134,14,4,SOLO,MID
1914,200,6,24,4,12,SOLO,TOP
1915,200,7,81,4,7,DUO_CARRY,BOT
1916,200,8,121,4,11,NONE,JUNGLE
1917,200,9,161,21,4,SOLO,MID
1918,200,10,44,4,3,DUO_SUPPORT,BOT
1919,201,1,238,14,4,SOLO,MID
1920,201,2,53,4,3,DUO_SUPPORT,BOT
1921,201,3,51,4,7,DUO_CARRY,BOT
1922,201,4,122,4,12,SOLO,TOP
1923,201,5,104,4,11,NONE,JUNGLE
1924,201,6,91,4,14,SOLO,MID
1925,201,7,32,11,4,NONE,JUNGLE
1926,201,8,86,12,4,SOLO,TOP
1927,201,9,18,4,7,DUO_CARRY,BOT
1928,201,10,12,4,3,DUO_SUPPORT,BOT
1929,202,1,61,4,21,SOLO,MID
1930,202,2,63,3,4,DUO_SUPPORT,BOT
1931,202,3,2,12,4,SOLO,TOP
1932,202,4,67,4,7,DUO_CARRY,BOT
1933,202,5,64,4,11,NONE,JUNGLE
1934,202,6,222,4,7,DUO_CARRY,BOT
1935,202,7,134,4,14,SOLO,MID
1936,202,8,85,12,4,SOLO,TOP
1937,202,9,16,4,3,DUO_SUPPORT,BOT
1938,202,10,56,11,4,NONE,JUNGLE
1939,203,1,236,4,7,DUO_CARRY,BOT
1940,203,2,35,11,4,NONE,JUNGLE
1941,203,3,16,4,3,DUO_SUPPORT,BOT
1942,203,4,134,6,4,SOLO,MID
1943,203,5,98,4,12,SOLO,TOP
1944,203,6,31,4,12,SOLO,TOP
1945,203,7,69,14,4,SOLO,MID
1946,203,8,15,7,4,DUO_CARRY,BOT
1947,203,9,90,14,4,DUO_SUPPORT,BOT
1948,203,10,64,11,4,NONE,JUNGLE
1949,204,1,5,4,11,NONE,JUNGLE
1950,204,2,157,4,12,SOLO,TOP
1951,204,3,67,4,7,DUO_CARRY,BOT
1952,204,4,1,4,14,DUO_SUPPORT,BOT
1953,204,5,80,14,4,SOLO,MID
1954,204,6,117,4,3,DUO_SUPPORT,BOT
1955,204,7,58,12,4,SOLO,TOP
1956,204,8,51,4,7,DUO_CARRY,BOT
1957,204,9,68,3,4,SOLO,MID
1958,204,10,64,11,4,NONE,JUNGLE
1959,205,1,412,4,12,SOLO,TOP
1960,205,2,136,4,6,SOLO,MID
1961,205,3,202,7,4,DUO_CARRY,BOT
1962,205,4,35,11,14,NONE,JUNGLE
1963,205,5,89,4,3,DUO_SUPPORT,BOT
1964,205,6,25,3,4,DUO_SUPPORT,BOT
1965,205,7,266,4,11,NONE,JUNGLE
1966,205,8,119,4,7,DUO_CARRY,BOT
1967,205,9,112,4,6,SOLO,MID
1968,205,10,27,4,12,SOLO,TOP
1969,206,1,51,7,4,DUO_CARRY,BOT
1970,206,2,45,4,12,SOLO,MID
1971,206,3,111,4,12,SOLO,TOP
1972,206,4,12,4,3,DUO_SUPPORT,BOT
1973,206,5,3,4,11,NONE,JUNGLE
1974,206,6,115,4,21,SOLO,MID
1975,206,7,16,3,4,DUO_SUPPORT,BOT
1976,206,8,120,4,11,NONE,JUNGLE
1977,206,9,236,4,7,DUO_CARRY,BOT
1978,206,10,43,12,4,SOLO,TOP
1979,207,1,89,4,3,DUO_SUPPORT,BOT
1980,207,2,154,11,4,NONE,JUNGLE
1981,207,3,3,4,12,SOLO,TOP
1982,207,4,45,7,4,SOLO,MID
1983,207,5,67,4,7,DUO_CARRY,BOT
1984,207,6,85,12,4,SOLO,TOP
1985,207,7,22,4,7,DUO_CARRY,BOT
1986,207,8,238,14,4,SOLO,MID
1987,207,9,24,11,4,NONE,JUNGLE
1988,207,10,43,4,3,DUO_SUPPORT,BOT
1989,208,1,202,7,4,DUO_CARRY,BOT
1990,208,2,117,4,3,DUO_SUPPORT,BOT
1991,208,3,105,3,4,SOLO,MID
1992,208,4,3,4,11,NONE,JUNGLE
1993,208,5,33,4,12,SOLO,TOP
1994,208,6,50,4,12,SOLO,TOP
1995,208,7,85,4,3,DUO_SUPPORT,BOT
1996,208,8,245,4,12,SOLO,MID
1997,208,9,32,11,4,NONE,JUNGLE
1998,208,10,236,7,4,DUO_CARRY,BOT
1999,209,1,25,4,3,DUO_SUPPORT,BOT
2000,209,2,107,4,11,NONE,JUNGLE
2001,209,3,23,12,4,SOLO,TOP
2002,209,4,245,4,14,SOLO,MID
2003,209,5,236,7,4,DUO_CARRY,BOT
2004,209,6,5,4,11,NONE,JUNGLE
2005,209,7,105,4,14,SOLO,MID
2006,209,8,41,4,12,SOLO,TOP
2007,209,9,21,4,7,DUO_CARRY,BOT
2008,209,10,12,4,3,DUO_SUPPORT,BOT
2009,210,1,25,3,4,DUO_SUPPORT,BOT
2010,210,2,105,11,4,NONE,JUNGLE
2011,210,3,51,7,4,DUO_CARRY,BOT
2012,210,4,55,14,4,SOLO,MID
2013,210,5,41,12,4,SOLO,TOP
2014,210,6,412,14,4,DUO_SUPPORT,BOT
2015,210,7,50,4,12,SOLO,TOP
2016,210,8,5,4,11,NONE,JUNGLE
2017,210,9,61,4,21,SOLO,MID
2018,210,10,236,4,7,DUO_CARRY,BOT
2019,211,1,119,4,7,DUO_CARRY,BOT
2020,211,2,89,4,3,DUO_SUPPORT,BOT
2021,211,3,91,4,12,SOLO,TOP
2022,211,4,245,4,14,DUO_CARRY,MID
2023,211,5,104,4,11,DUO_SUPPORT,MID
2024,211,6,267,3,4,DUO_SUPPORT,BOT
2025,211,7,236,7,4,DUO_CARRY,BOT
2026,211,8,84,12,4,SOLO,TOP
2027,211,9,102,11,4,NONE,JUNGLE
2028,211,10,55,14,4,SOLO,MID
2029,212,1,119,4,7,DUO_CARRY,BOT
2030,212,2,40,4,3,DUO_SUPPORT,BOT
2031,212,3,245,4,12,SOLO,MID
2032,212,4,54,4,14,SOLO,TOP
2033,212,5,154,11,4,NONE,JUNGLE
2034,212,6,11,6,11,NONE,JUNGLE
2035,212,7,10,4,12,SOLO,TOP
2036,212,8,412,3,4,DUO_SUPPORT,BOT
2037,212,9,110,7,4,DUO_CARRY,BOT
2038,212,10,420,4,12,SOLO,MID
2039,213,1,64,4,11,NONE,JUNGLE
2040,213,2,17,4,14,SOLO,TOP
2041,213,3,81,4,7,DUO_CARRY,BOT
2042,213,4,245,4,14,SOLO,MID
2043,213,5,90,4,3,DUO_SUPPORT,BOT
2044,213,6,12,3,4,DUO_SUPPORT,BOT
2045,213,7,127,4,12,SOLO,TOP
2046,213,8,222,7,4,DUO_CARRY,BOT
2047,213,9,91,4,14,SOLO,MID
2048,213,10,11,4,11,NONE,JUNGLE
2049,214,1,161,4,3,SOLO,MID
2050,214,2,23,12,4,SOLO,TOP
2051,214,3,154,11,4,NONE,JUNGLE
2052,214,4,12,4,3,DUO_SUPPORT,BOT
2053,214,5,81,4,7,DUO_CARRY,BOT
2054,214,6,267,3,4,DUO_SUPPORT,BOT
2055,214,7,236,4,7,DUO_CARRY,BOT
2056,214,8,114,4,12,SOLO,TOP
2057,214,9,11,4,11,NONE,JUNGLE
2058,214,10,38,4,14,SOLO,MID
2059,215,1,99,4,3,DUO_SUPPORT,BOT
2060,215,2,41,12,4,SOLO,TOP
2061,215,3,236,4,7,DUO_CARRY,BOT
2062,215,4,20,6,11,DUO_SUPPORT,MID
2063,215,5,157,4,14,DUO_CARRY,MID
2064,215,6,127,4,12,SOLO,TOP
2065,215,7,32,4,11,NONE,JUNGLE
2066,215,8,105,4,14,SOLO,MID
2067,215,9,21,4,7,DUO_CARRY,BOT
2068,215,10,89,4,3,DUO_SUPPORT,BOT
2069,216,1,17,12,4,SOLO,TOP
2070,216,2,113,4,11,NONE,JUNGLE
2071,216,3,236,4,7,DUO_CARRY,BOT
2072,216,4,89,4,14,DUO_SUPPORT,BOT
2073,216,5,63,14,4,SOLO,MID
2074,216,6,53,3,4,DUO_SUPPORT,BOT
2075,216,7,157,4,14,SOLO,MID
2076,216,8,21,4,7,DUO_CARRY,BOT
2077,216,9,106,4,12,SOLO,TOP
2078,216,10,120,6,11,NONE,JUNGLE
2079,217,1,51,4,7,DUO_CARRY,BOT
2080,217,2,112,4,3,SOLO,MID
2081,217,3,14,4,3,DUO_SUPPORT,BOT
2082,217,4,58,4,12,SOLO,TOP
2083,217,5,19,6,11,NONE,JUNGLE
2084,217,6,236,4,7,DUO_CARRY,BOT
2085,217,7,32,4,11,NONE,JUNGLE
2086,217,8,420,12,4,SOLO,TOP
2087,217,9,63,3,4,DUO_SUPPORT,BOT
2088,217,10,157,4,14,SOLO,MID
2089,218,1,55,14,4,SOLO,MID
2090,218,2,64,11,4,NONE,JUNGLE
2091,218,3,267,4,3,DUO_SUPPORT,BOT
2092,218,4,92,12,4,SOLO,TOP
2093,218,5,51,4,7,DUO_CARRY,BOT
2094,218,6,105,14,4,SOLO,MID
2095,218,7,236,4,7,DUO_CARRY,BOT
2096,218,8,89,4,3,DUO_SUPPORT,BOT
2097,218,9,427,11,4,NONE,JUNGLE
2098,218,10,14,12,6,SOLO,TOP
2099,219,1,98,12,4,SOLO,TOP
2100,219,2,107,4,11,NONE,JUNGLE
2101,219,3,105,14,4,SOLO,MID
2102,219,4,236,4,7,DUO,BOT
2103,219,5,89,4,3,DUO,BOT
2104,219,6,99,4,3,DUO_SUPPORT,BOT
2105,219,7,64,14,4,SOLO,TOP
2106,219,8,202,4,7,DUO_CARRY,BOT
2107,219,9,7,4,14,DUO,MID
2108,219,10,35,14,11,DUO,MID
2109,220,1,202,7,4,DUO_CARRY,BOT
2110,220,2,117,3,4,DUO_SUPPORT,BOT
2111,220,3,157,4,14,SOLO,MID
2112,220,4,114,12,4,SOLO,TOP
2113,220,5,32,11,4,NONE,JUNGLE
2114,220,6,5,4,11,NONE,JUNGLE
2115,220,7,17,4,14,SOLO,TOP
2116,220,8,51,4,7,DUO_CARRY,BOT
2117,220,9,25,4,3,DUO_SUPPORT,BOT
2118,220,10,34,14,4,SOLO,MID
2119,221,1,117,3,4,DUO_SUPPORT,BOT
2120,221,2,51,7,4,DUO_CARRY,BOT
2121,221,3,24,12,4,SOLO,TOP
2122,221,4,238,3,14,SOLO,MID
2123,221,5,5,4,11,NONE,JUNGLE
2124,221,6,420,12,4,SOLO,TOP
2125,221,7,67,7,4,DUO_CARRY,BOT
2126,221,8,14,4,3,DUO_SUPPORT,BOT
2127,221,9,121,11,4,NONE,JUNGLE
2128,221,10,101,4,3,SOLO,MID
2129,222,1,5,4,11,NONE,JUNGLE
2130,222,2,7,14,4,SOLO,MID
2131,222,3,119,4,7,DUO_CARRY,BOT
2132,222,4,157,4,12,SOLO,TOP
2133,222,5,89,3,4,DUO_SUPPORT,BOT
2134,222,6,57,4,12,SOLO,TOP
2135,222,7,91,4,3,SOLO,MID
2136,222,8,64,4,11,NONE,JUNGLE
2137,222,9,53,3,4,DUO_SUPPORT,BOT
2138,222,10,115,4,7,DUO_CARRY,BOT
2139,223,1,23,6,12,SOLO,TOP
2140,223,2,202,4,7,DUO_CARRY,BOT
2141,223,3,157,14,4,SOLO,MID
2142,223,4,5,4,11,NONE,JUNGLE
2143,223,5,48,4,3,DUO_SUPPORT,BOT
2144,223,6,86,12,4,SOLO,TOP
2145,223,7,51,7,4,DUO_CARRY,BOT
2146,223,8,40,3,4,DUO_SUPPORT,BOT
2147,223,9,64,4,11,NONE,JUNGLE
2148,223,10,105,4,14,SOLO,MID
2149,224,1,38,14,4,SOLO,MID
2150,224,2,64,11,4,NONE,JUNGLE
2151,224,3,67,7,4,DUO_CARRY,BOT
2152,224,4,13,4,12,SOLO,TOP
2153,224,5,53,14,4,DUO_SUPPORT,BOT
2154,224,6,29,4,7,DUO_CARRY,BOT
2155,224,7,61,14,4,SOLO,MID
2156,224,8,14,14,4,SOLO,TOP
2157,224,9,5,4,11,NONE,JUNGLE
2158,224,10,412,3,4,DUO_SUPPORT,BOT
2159,225,1,236,4,7,DUO_CARRY,BOT
2160,225,2,120,6,11,NONE,JUNGLE
2161,225,3,89,4,3,DUO_SUPPORT,BOT
2162,225,4,36,4,12,SOLO,TOP
2163,225,5,245,12,4,SOLO,MID
2164,225,6,62,12,4,SOLO,TOP
2165,225,7,45,12,4,SOLO,MID
2166,225,8,432,3,4,DUO_SUPPORT,BOT
2167,225,9,81,4,7,DUO_CARRY,BOT
2168,225,10,56,4,11,NONE,JUNGLE
2169,226,1,121,4,11,NONE,JUNGLE
2170,226,2,96,7,4,DUO_CARRY,BOT
2171,226,3,238,14,4,SOLO,MID
2172,226,4,58,14,4,SOLO,TOP
2173,226,5,223,3,4,DUO_SUPPORT,BOT
2174,226,6,126,4,12,SOLO,TOP
2175,226,7,16,4,3,DUO_SUPPORT,BOT
2176,226,8,202,4,7,DUO_CARRY,BOT
2177,226,9,105,14,4,SOLO,MID
2178,226,10,19,6,11,NONE,JUNGLE
2179,227,1,103,4,14,SOLO,MID
2180,227,2,236,4,7,DUO_CARRY,BOT
2181,227,3,75,4,12,SOLO,TOP
2182,227,4,121,4,11,NONE,JUNGLE
2183,227,5,89,4,3,DUO_SUPPORT,BOT
2184,227,6,106,11,4,NONE,JUNGLE
2185,227,7,111,4,3,DUO_SUPPORT,BOT
2186,227,8,82,12,4,SOLO,TOP
2187,227,9,99,21,4,SOLO,MID
2188,227,10,22,4,7,DUO_CARRY,BOT
2189,228,1,23,11,6,NONE,JUNGLE
2190,228,2,51,4,7,DUO_CARRY,BOT
2191,228,3,48,12,4,SOLO,TOP
2192,228,4,105,4,14,SOLO,MID
2193,228,5,53,4,14,DUO_SUPPORT,BOT
2194,228,6,90,4,3,DUO_SUPPORT,BOT
2195,228,7,238,4,14,SOLO,MID
2196,228,8,17,4,14,SOLO,TOP
2197,228,9,236,4,7,DUO_CARRY,BOT
2198,228,10,121,4,11,NONE,JUNGLE
2199,229,1,24,12,4,SOLO,TOP
2200,229,2,18,7,4,DUO_CARRY,BOT
2201,229,3,105,12,4,SOLO,MID
2202,229,4,19,11,4,NONE,JUNGLE
2203,229,5,117,3,4,DUO_SUPPORT,BOT
2204,229,6,201,3,4,DUO_SUPPORT,BOT
2205,229,7,45,4,21,SOLO,MID
2206,229,8,67,7,4,DUO_CARRY,BOT
2207,229,9,64,11,4,NONE,JUNGLE
2208,229,10,86,4,12,SOLO,TOP
2209,230,1,254,4,11,NONE,JUNGLE
2210,230,2,105,14,4,SOLO,MID
2211,230,3,67,4,7,DUO_CARRY,BOT
2212,230,4,117,4,3,DUO_SUPPORT,BOT
2213,230,5,17,4,14,SOLO,TOP
2214,230,6,78,14,4,SOLO,TOP
2215,230,7,236,4,7,DUO_CARRY,BOT
2216,230,8,412,4,14,DUO_SUPPORT,BOT
2217,230,9,120,6,11,NONE,JUNGLE
2218,230,10,103,4,14,SOLO,MID
2219,231,1,5,4,11,NONE,JUNGLE
2220,231,2,126,4,12,SOLO,TOP
2221,231,3,117,3,4,DUO_SUPPORT,BOT
2222,231,4,222,4,7,DUO_CARRY,BOT
2223,231,5,9,4,14,SOLO,MID
2224,231,6,236,4,7,DUO,BOT
2225,231,7,201,4,3,DUO,BOT
2226,231,8,58,4,12,SOLO,TOP
2227,231,9,203,4,11,NONE,JUNGLE
2228,231,10,115,4,21,SOLO,MID
2229,232,1,99,4,21,SOLO,MID
2230,232,2,32,11,4,NONE,JUNGLE
2231,232,3,85,4,12,SOLO,TOP
2232,232,4,53,4,3,DUO_SUPPORT,BOT
2233,232,5,236,4,7,DUO_CARRY,BOT
2234,232,6,92,14,4,SOLO,TOP
2235,232,7,11,4,11,NONE,JUNGLE
2236,232,8,412,3,4,DUO_SUPPORT,BOT
2237,232,9,202,4,7,DUO_CARRY,BOT
2238,232,10,7,4,12,SOLO,MID
2239,233,1,37,3,4,DUO_SUPPORT,BOT
2240,233,2,51,4,7,DUO_CARRY,BOT
2241,233,3,36,12,4,SOLO,TOP
2242,233,4,79,4,11,NONE,JUNGLE
2243,233,5,101,4,1,SOLO,MID
2244,233,6,99,4,21,SOLO,MID
2245,233,7,427,4,11,NONE,JUNGLE
2246,233,8,23,12,4,SOLO,TOP
2247,233,9,96,4,7,DUO_CARRY,BOT
2248,233,10,117,3,4,DUO_SUPPORT,BOT
2249,234,1,14,4,3,DUO_SUPPORT,BOT
2250,234,2,24,4,11,NONE,JUNGLE
2251,234,3,99,4,21,SOLO,MID
2252,234,4,91,12,4,SOLO,TOP
2253,234,5,22,7,4,DUO_CARRY,BOT
2254,234,6,16,3,4,DUO_SUPPORT,BOT
2255,234,7,39,12,4,SOLO,TOP
2256,234,8,107,4,11,NONE,JUNGLE
2257,234,9,163,3,4,SOLO,MID
2258,234,10,81,4,7,DUO_CARRY,BOT
2259,235,1,5,4,11,NONE,JUNGLE
2260,235,2,103,4,6,SOLO,MID
2261,235,3,110,4,7,DUO_CARRY,BOT
2262,235,4,86,4,12,SOLO,TOP
2263,235,5,89,4,7,DUO_SUPPORT,BOT
2264,235,6,21,7,4,DUO_CARRY,BOT
2265,235,7,111,4,3,DUO_SUPPORT,BOT
2266,235,8,54,12,4,SOLO,TOP
2267,235,9,104,11,4,NONE,JUNGLE
2268,235,10,131,3,4,SOLO,MID
2269,236,1,236,4,7,DUO_CARRY,BOT
2270,236,2,164,4,11,NONE,JUNGLE
2271,236,3,103,4,14,SOLO,MID
2272,236,4,114,12,4,SOLO,TOP
2273,236,5,12,3,4,DUO_SUPPORT,BOT
2274,236,6,78,12,4,DUO_SUPPORT,BOT
2275,236,7,35,14,12,SOLO,TOP
2276,236,8,67,4,7,DUO_CARRY,BOT
2277,236,9,245,4,14,SOLO,MID
2278,236,10,5,4,11,NONE,JUNGLE
2279,237,1,98,4,12,SOLO,TOP
2280,237,2,134,4,7,DUO_CARRY,BOT
2281,237,3,432,14,4,DUO_SUPPORT,BOT
2282,237,4,35,11,3,NONE,JUNGLE
2283,237,5,55,14,4,SOLO,MID
2284,237,6,111,4,3,DUO,BOT
2285,237,7,19,11,4,NONE,JUNGLE
2286,237,8,13,4,14,SOLO,MID
2287,237,9,29,4,7,DUO,BOT
2288,237,10,54,4,12,SOLO,TOP
2289,238,1,25,4,3,DUO_SUPPORT,BOT
2290,238,2,107,4,11,NONE,JUNGLE
2291,238,3,8,4,12,SOLO,TOP
2292,238,4,31,14,4,SOLO,MID
2293,238,5,236,4,7,DUO_CARRY,BOT
2294,238,6,29,4,7,DUO_CARRY,BOT
2295,238,7,41,12,4,SOLO,TOP
2296,238,8,427,4,11,NONE,JUNGLE
2297,238,9,90,12,4,SOLO,MID
2298,238,10,53,3,4,DUO_SUPPORT,BOT
2299,239,1,45,4,14,DUO,BOT
2300,239,2,64,11,4,NONE,JUNGLE
2301,239,3,29,4,7,DUO,BOT
2302,239,4,99,21,4,SOLO,MID
2303,239,5,35,12,14,SOLO,TOP
2304,239,6,98,12,4,SOLO,TOP
2305,239,7,117,4,3,DUO_SUPPORT,BOT
2306,239,8,236,4,7,DUO_CARRY,BOT
2307,239,9,32,4,11,NONE,JUNGLE
2308,239,10,110,21,4,SOLO,MID
2309,240,1,412,14,4,DUO_SUPPORT,BOT
2310,240,2,41,4,12,SOLO,TOP
2311,240,3,238,4,14,SOLO,MID
2312,240,4,64,11,4,NONE,JUNGLE
2313,240,5,67,4,7,DUO_CARRY,BOT
2314,240,6,29,4,7,DUO_CARRY,BOT
2315,240,7,89,4,3,DUO_SUPPORT,BOT
2316,240,8,1,4,14,SOLO,MID
2317,240,9,79,4,11,NONE,JUNGLE
2318,240,10,74,4,14,SOLO,TOP
2319,241,1,267,4,3,DUO_SUPPORT,BOT
2320,241,2,67,4,7,DUO_CARRY,BOT
2321,241,3,99,4,3,SOLO,MID
2322,241,4,133,14,4,SOLO,TOP
2323,241,5,64,4,11,NONE,JUNGLE
2324,241,6,62,4,11,NONE,JUNGLE
