Team,won,lost,ip,hit,run,er,bb,so,sa,bs,ho,qs,hb,hr,st,sho,c
orio,25,35 518.2  490  294  261  192  487   11    7   32   10   20   79   60    0
rsox,24,36 524.0  587  351  325  252  537   14   13   40    9   17   98   60    0
ange,26,34 525.1  493  321  297  199  523   12   14   23   15   10   82   60    0
indi,35,25 536.0  440  209  196  157  621   20    8   35   37   17   68   60    0
tige,23,35 492.1  510  318  308  192  444   12    8   26    9   24   91   58    0
astr,29,31 524.0  473  275  252  217  526   16   13   27   25   17   70   60    0
roya,26,34 517.0  499  272  247  211  517   19    1   29   11   17   76   60    1
twin,36,24 513.1  448  215  204  170  535   17   10   49   16   12   62   60    0
rays,40,20 527.2  475  229  208  168  552   23    8   42    7   20   70   60    0
yank,33,27 500.2  455  270  243  168  528   14    9   16   18   15   83   60    1
as,36,24 515.1  470  232  214  165  506   17    4   33   19    8   69   60    1
mari,27,33 516.2  481  303  290  230  469   15    9   30   25   24   79   60    0
rang,22,38 516.2  480  312  288  236  489   10    9   15   17   21   81   60    1
blue,32,28 524.2  518  312  272  250  519   17   12   32   11   10   81   60    0
whit,35,25 527.0  448  246  222  217  523   13   12   31   19   18   71   60    1
brav,35,25 524.1  494  288  259  220  506   13    6   31   13   14   69   60    0
reds,31,29 504.0  403  243  221  213  615    9    7   25   26   24   67   60    2
rock,26,34 526.1  579  353  327  205  393   16    8   20   28   23   83   60    0
cubs,34,26 518.1  451  240  231  182  523   16    5   26   30   13   74   60    2
marl,31,29 504.1  507  304  272  226  451   18    5   29   16   19   82   60    0
dodg,43,17 538.2  423  213  180  145  517   15   10   50   18   11   66   60    0
brew,29,31 517.1  446  264  240  189  614   14    8   20   15   26   67   60    0
diam,25,35 518.1  507  295  280  235  524   13    9   22   13   19   93   60    0
mets,26,34 513.1  512  308  286  219  574   11    7   28   17   19   81   60    0
phil,28,32 496.0  547  311  287  185  532   11   13   27   20   21   80   60    2
pira,19,41 513.0  450  298  266  249  536    6   13   22    9   17   80   60    0
padr,37,23 520.1  456  241  221  170  565   13   11   42   22   17   70   60    1
gian,29,31 517.2  474  297  268  210  488   13   11   43   11   21   69   60    0
card,30,28 473.0  376  229  207  204  464   13    5   22   18   18   69   58    0
nati,26,34 503.2  550  301  286  216  508   12   10   40   16   19   94   60    0